AtcoCode,Easting,Northing,Longitude,Latitude,StopType,BusStopType
1800NC35431,378289,407436,-2.329255,53.56309,BCT,MKD
1800NC35441,378306,407422,-2.328997,53.56296,BCT,MKD
1800EH14431,391931,398361,-2.123058,53.48191,BCT,MKD
1800EHH2011,392070,398630,-2.12097,53.48433,BCT,HAR
1800EHH2012,392070,398630,-2.12097,53.48433,BCT,HAR
1800EHH2001,392508,399045,-2.11438,53.48806,BCT,HAR
1800EHH2002,392508,399045,-2.11438,53.48806,BCT,HAR
1800SG13121,389456,390216,-2.160077,53.40865,BCT,MKD
1800WA34501,365396,406267,-2.523771,53.55188,BCT,MKD
1800EHH2291,393864,399585,-2.093954,53.49294,BCT,HAR
1800EH21821,393921,399580,-2.093095,53.49289,BCT,MKD
1800ED15541,392652,405054,-2.112352,53.54208,BCT,MKD
1800SG13131,389441,390203,-2.160302,53.40854,BCT,MKD
1800WA34511,365395,406285,-2.523787,53.55205,BCT,MKD
1800EH20891,393985,399494,-2.092129,53.49212,BCT,MKD
1800SGH0201,389507,390138,-2.159307,53.40795,BCT,HAR
1800EH20892,393985,399494,-2.092129,53.49212,BCT,MKD
1800WA08811,374480,405532,-2.386604,53.5458,BCT,CUS
1800WA15342,374480,405522,-2.386603,53.54571,BCT,MKD
1800WA15341,374480,405522,-2.386603,53.54571,BCT,MKD
1800SG08971,389484,390242,-2.159656,53.40889,BCT,MKD
1800EHH1641,393918,399547,-2.09314,53.4926,BCT,HAR
1800EHH1642,393918,399547,-2.09314,53.4926,BCT,HAR
1800WAH2422,372549,413157,-2.416418,53.61424,BCT,HAR
1800WAH0771,372522,413197,-2.41683,53.6146,BCT,HAR
1800WAH0772,372537,413339,-2.416615,53.61587,BCT,HAR
1800NF05141,370459,392209,-2.446026,53.42584,BCT,CUS
1800NF27091,370466,392204,-2.44592,53.4258,BCT,MKD
1800NF27092,370461,392187,-2.445994,53.42564,BCT,MKD
1800SB30551,383360,396139,-2.252092,53.46173,BCT,MKD
1800SB30561,383371,396110,-2.251925,53.46147,BCT,MKD
1800SJH1861,376274,388041,-2.358203,53.38867,BCT,CUS
1800SJH1862,376275,388024,-2.358187,53.38852,BCT,HAR
1800EB35241,388433,400353,-2.175842,53.49975,BCT,MKD
1800EB35251,388446,400358,-2.175646,53.49979,BCT,MKD
1800ED28681,392413,403619,-2.115924,53.52917,BCT,MKD
1800WA42521,373176,406618,-2.406376,53.5555,BCT,MKD
1800WA42511,373208,406633,-2.405894,53.55563,BCT,MKD
1800WA25921,374836,409578,-2.381559,53.58218,BCT,MKD
1800WA25911,374871,409598,-2.381032,53.58237,BCT,MKD
1800WAR0051,367260,408540,-2.495876,53.57243,RSE,
1800SJ00971,377744,395573,-2.336636,53.45644,BCT,MKD
1800SJ00961,377708,395638,-2.337183,53.45702,BCT,MKD
1800SJ00941,378293,395380,-2.328355,53.45472,BCT,MKD
1800WA18211,367432,408379,-2.493262,53.571,BCT,MKD
1800WA07621,367471,408381,-2.492673,53.57102,BCT,MKD
1800WA17241,367437,409276,-2.49328,53.57906,BCT,MKD
1800WA17251,367353,409256,-2.494547,53.57888,BCT,MKD
1800WA34641,364336,407775,-2.539942,53.56537,BCT,MKD
1800WA34801,365232,409227,-2.526576,53.57848,BCT,MKD
1800WA34651,364272,407795,-2.54091,53.56554,BCT,MKD
1800LOSTCKP0,367280,408542,-2.495574,53.57245,RSE,
1800LOSTCKP1,367351,408605,-2.494509,53.57302,RSE,
1800SJ00991,378539,395323,-2.324647,53.45422,BCT,MKD
1800WA34821,365222,409317,-2.526737,53.57929,BCT,MKD
1800WA34811,365234,409276,-2.526551,53.57892,BCT,MKD
1800WF21281,373600,403506,-2.399712,53.52755,BCT,MKD
1800EB34031,388708,397370,-2.171588,53.47294,BCT,MKD
1800NE33021,391187,415354,-2.134754,53.63463,BCT,MKD
1800NE33031,391168,415360,-2.135042,53.63469,BCT,MKD
1800WKH3851,365969,402812,-2.514745,53.52087,BCT,HAR
1800WK31021,366331,402251,-2.509225,53.51585,BCT,MKD
1800ED12971,397833,404677,-2.034168,53.53874,BCT,MKD
1800WK31011,366339,402226,-2.509102,53.51563,BCT,MKD
1800ED12981,397859,404675,-2.033776,53.53872,BCT,MKD
1800WKH1261,357181,399767,-2.646866,53.49286,BCT,HAR
1800WKH1262,357164,399760,-2.647121,53.49279,BCT,HAR
1800WKH4541,357022,399781,-2.649264,53.49297,BCT,HAR
1800ED14031,391808,408449,-2.125179,53.57258,BCT,MKD
1800ED14041,391812,408515,-2.12512,53.57317,BCT,MKD
1800NEH3001,391138,415432,-2.135497,53.63533,BCT,HAR
1800NEH3002,391138,415432,-2.135497,53.63533,BCT,HAR
1800NC23541,377647,407800,-2.338973,53.56633,BCT,MKD
1800SG38011,392537,391784,-2.113768,53.4228,BCT,MKD
1800SG38021,392436,391731,-2.115286,53.42232,BCT,MKD
1800SG08561,392837,391505,-2.109247,53.4203,BCT,MKD
1800NF40351,382300,399882,-2.268269,53.49534,BCT,MKD
1800SB09671,383268,398053,-2.25358,53.47893,BCT,MKD
1800SB12231,383278,398009,-2.253427,53.47854,BCT,MKD
1800NBT0221,383238,397843,-2.254021,53.47704,TXR,
1800NB43711,385288,401976,-2.223329,53.51426,BCT,MKD
1800WAH1781,365065,404196,-2.528534,53.53325,BCT,HAR
1800WAH1782,365065,404196,-2.528534,53.53325,BCT,HAR
1800SG08481,389812,390275,-2.154723,53.40919,BCT,MKD
1800ED28851,391633,401829,-2.127642,53.51307,BCT,MKD
1800ED28841,391662,401878,-2.127206,53.51352,BCT,MKD
1800EDH0801,391649,401859,-2.127401,53.51334,BCT,HAR
1800EDH0802,391649,401859,-2.127401,53.51334,BCT,HAR
1800EDH0321,391721,401803,-2.126314,53.51284,BCT,HAR
1800EDH0322,391721,401803,-2.126314,53.51284,BCT,HAR
1800EDH2351,391519,401539,-2.129353,53.51047,BCT,HAR
1800NF30171,377481,398755,-2.340826,53.48503,BCT,MKD
1800SG38671,398376,392038,-2.025905,53.42513,BCT,MKD
1800SG38681,398393,392040,-2.025649,53.42515,BCT,MKD
1800WK38121,361194,398103,-2.586176,53.47821,BCT,MKD
1800NE23871,390565,412025,-2.144058,53.6047,BCT,MKD
1800NCH0701,380871,412556,-2.290589,53.60921,BCT,HAR
1800NCH0702,380871,412556,-2.290589,53.60921,BCT,HAR
1800EH36451,389597,399322,-2.15826,53.49051,BCT,MKD
1800SG07491,389608,389076,-2.157752,53.39841,BCT,MKD
1800SGH1861,389310,388901,-2.162228,53.39683,BCT,HAR
1800SGH2382,390940,388710,-2.137709,53.39515,BCT,HAR
1800SGH2381,390940,388710,-2.137709,53.39515,BCT,HAR
1800WKH4072,364721,400412,-2.533296,53.49921,BCT,HAR
1800SGH2922,396730,389600,-2.050649,53.40321,BCT,HAR
1800EH37451,398788,395020,-2.019717,53.45194,BCT,MKD
1800EH37441,398813,395086,-2.019341,53.45253,BCT,MKD
1800NCH0211,380797,403081,-2.291122,53.52404,BCT,HAR
1800NCH0212,380798,403081,-2.291107,53.52404,BCT,HAR
1800NCH3101,380717,403054,-2.292327,53.5238,BCT,HAR
1800NCH3102,380717,403054,-2.292327,53.5238,BCT,HAR
1800WKH4071,363904,397809,-2.545312,53.47577,BCT,CUS
1800WK08711,361561,397796,-2.580609,53.47548,BCT,CUS
1800WK37651,361556,397803,-2.580685,53.47554,BCT,MKD
1800WK37652,361556,397803,-2.580685,53.47554,BCT,MKD
1800WK37011,362762,397305,-2.562457,53.47115,BCT,MKD
1800WK37021,362814,397351,-2.561679,53.47157,BCT,MKD
1800WK37571,362093,397023,-2.572501,53.46857,BCT,MKD
1800WK37581,362116,397001,-2.572152,53.46838,BCT,MKD
1800WK37641,361556,397710,-2.580674,53.47471,BCT,MKD
1800WK37631,361581,397701,-2.580296,53.47463,BCT,MKD
1800WAH3541,373656,406827,-2.399148,53.5574,BCT,HAR
1800SJ00611,382612,396668,-2.263387,53.46646,BCT,MKD
1800NE49611,390251,410649,-2.14876,53.59233,BCT,MKD
1800NE49601,390275,410656,-2.148398,53.59239,BCT,MKD
1800WK00041,363216,403676,-2.556367,53.52845,BCT,MKD
1800WK11561,363224,403672,-2.556246,53.52841,BCT,CUS
1800WK23711,358119,407854,-2.633813,53.56562,BCT,MKD
1800WK23721,358119,407881,-2.633817,53.56586,BCT,MKD
1800SG37341,396613,389635,-2.052409,53.40353,BCT,MKD
1800SGH1761,389045,387292,-2.166157,53.38236,BCT,HAR
1800SGH1701,389421,384531,-2.160411,53.35755,BCT,HAR
1800SGH1702,389421,384531,-2.160411,53.35755,BCT,HAR
1800EHH0631,391159,399383,-2.13472,53.49108,BCT,HAR
1800EHH1791,391833,400104,-2.12458,53.49757,BCT,HAR
1800EHH1792,391833,400104,-2.12458,53.49757,BCT,HAR
1800EH36261,391152,399375,-2.134825,53.49101,BCT,MKD
1800EH47521,391634,397179,-2.127501,53.47128,BCT,MKD
1800EH47511,391544,397165,-2.128857,53.47115,BCT,MKD
1800EH36801,391261,397832,-2.133139,53.47714,BCT,MKD
1800EH35681,391264,397976,-2.133098,53.47844,BCT,MKD
1800NF28101,374183,401674,-2.390766,53.51111,BCT,MKD
1800EH41301,395489,394413,-2.069385,53.44646,BCT,MKD
1800EH41291,395521,394427,-2.068903,53.44659,BCT,MKD
1800NFH0091,379660,401910,-2.308195,53.51347,BCT,HAR
1800NFH0092,379660,401910,-2.308195,53.51347,BCT,HAR
1800WFH0541,379118,402713,-2.316422,53.52067,BCT,HAR
1800WFH0542,379118,402713,-2.316422,53.52067,BCT,HAR
1800NFH0131,379603,401535,-2.30903,53.5101,BCT,HAR
1800NFH0132,379603,401535,-2.30903,53.5101,BCT,HAR
1800NC06231,381476,406105,-2.28106,53.55125,BCT,MKD
1800NC06241,381353,406069,-2.282914,53.55092,BCT,MKD
1800SG16171,391958,388545,-2.122396,53.39368,BCT,MKD
1800WK22761,357288,409054,-2.646524,53.57634,BCT,MKD
1800SG15361,389780,395026,-2.155361,53.45189,BCT,MKD
1800EHH1921,396861,401207,-2.048799,53.50754,BCT,HAR
1800EHH1922,396861,401207,-2.048799,53.50754,BCT,HAR
1800EH08501,396718,402054,-2.050964,53.51516,BCT,MKD
1800NE24021,395497,416474,-2.06959,53.64476,BCT,MKD
1800NE24022,395497,416474,-2.06959,53.64476,BCT,MKD
1800ED12931,397362,404491,-2.041273,53.53706,BCT,MKD
1800NE07261,395494,416480,-2.069636,53.64481,BCT,CUS
1800ED12941,397388,404512,-2.040881,53.53725,BCT,MKD
1800NE07301,395237,416540,-2.073524,53.64535,BCT,CUS
1800NE24031,395244,416547,-2.073419,53.64541,BCT,MKD
1800NE24032,395246,416551,-2.073388,53.64545,BCT,MKD
1800WK01391,355235,411263,-2.677844,53.59602,BCT,MKD
1800WK01381,355273,411268,-2.677271,53.59607,BCT,MKD
1800SG08121,391866,386196,-2.123719,53.37256,BCT,MKD
1800NF27391,372616,395384,-2.413844,53.45449,BCT,MKD
1800ED12121,396911,405805,-2.048092,53.54887,BCT,MKD
1800ED12131,396895,405816,-2.048333,53.54897,BCT,MKD
1800EH03411,395864,397105,-2.063776,53.47066,BCT,MKD
1800EH03431,395903,397109,-2.063188,53.4707,BCT,MKD
1800EH03441,396008,397117,-2.061606,53.47077,BCT,MKD
1800SBH0722,384045,392890,-2.241609,53.43255,BCT,HAR
1800WK23881,357343,406978,-2.645409,53.55768,BCT,MKD
1800SGH2111,395407,385712,-2.07049,53.36826,BCT,HAR
1800SGH2112,395407,385712,-2.07049,53.36826,BCT,HAR
1800SJ47831,379184,392080,-2.314718,53.4251,BCT,MKD
1800WF21491,377390,401111,-2.342368,53.5062,BCT,MKD
1800WF41221,377404,401099,-2.342156,53.50609,BCT,MKD
1800WF39631,377428,401044,-2.34179,53.5056,BCT,MKD
1800SJ04141,378204,397222,-2.329824,53.47128,BCT,MKD
1800SJ03251,378242,397211,-2.329251,53.47118,BCT,MKD
1800EB01601,386384,394347,-2.206468,53.44571,BCT,MKD
1800EB01981,386419,394221,-2.205935,53.44458,BCT,MKD
1800SJH0351,373501,394768,-2.400465,53.44901,BCT,HAR
1800SJH0361,373684,394895,-2.39772,53.45015,BCT,HAR
1800SJH0341,373401,394722,-2.401967,53.44859,BCT,HAR
1800SJ02761,373760,394901,-2.396576,53.45021,BCT,MKD
1800WA16201,370888,410496,-2.441275,53.59023,BCT,MKD
1800WA16211,370857,410481,-2.441742,53.5901,BCT,MKD
1800SBH0981,380722,386103,-2.291206,53.37143,BCT,HAR
1800SBH1151,381853,388030,-2.274319,53.38879,BCT,HAR
1800SBH1181,380713,386050,-2.291338,53.37096,BCT,HAR
1800SBH1161,381857,387965,-2.274256,53.38821,BCT,HAR
1800SBH1171,380976,386266,-2.287399,53.37291,BCT,HAR
1800SBH1191,381221,386322,-2.28372,53.37342,BCT,HAR
1800SGH2941,384224,389125,-2.238725,53.39872,BCT,HAR
1800SBH1621,381428,386970,-2.280647,53.37925,BCT,HAR
1800SBH1631,381416,386915,-2.280824,53.37876,BCT,HAR
1800SBH0811,382215,388908,-2.268926,53.3967,BCT,HAR
1800SBH0821,381014,386647,-2.286851,53.37634,BCT,HAR
1800SBH1141,382229,388854,-2.268713,53.39621,BCT,HAR
1800SBH1311,380374,385031,-2.29637,53.36179,BCT,HAR
1800SBH1481,380187,384846,-2.299168,53.36012,BCT,HAR
1800WK09151,353760,408527,-2.699723,53.5713,BCT,MKD
1800WK05221,353771,406027,-2.699186,53.54883,BCT,MKD
1800WK00441,356910,399087,-2.650856,53.48672,BCT,MKD
1800WK05211,353775,406017,-2.699124,53.54874,BCT,MKD
1800WK00431,356905,399073,-2.65093,53.4866,BCT,MKD
1800WKH3351,353638,404361,-2.700945,53.53384,BCT,HAR
1800WKH3361,354101,410504,-2.694865,53.5891,BCT,HAR
1800WKH3421,354185,410497,-2.693595,53.58904,BCT,HAR
1800NB29901,384245,404719,-2.239197,53.53888,BCT,MKD
1800NC07601,382932,405679,-2.259061,53.54747,BCT,MKD
1800EBH1852,387078,403928,-2.196417,53.53185,BCT,HAR
1800NC07591,382941,405674,-2.258925,53.54742,BCT,MKD
1800NF28241,374604,400594,-2.38433,53.50142,BCT,MKD
1800NC33801,384524,404999,-2.235001,53.5414,BCT,MKD
1800NF28231,374573,400582,-2.384797,53.50132,BCT,MKD
1800EDH3331,391384,401023,-2.131374,53.50583,BCT,HAR
1800EDH3332,391384,401023,-2.131374,53.50583,BCT,HAR
1800SJH1381,375674,396882,-2.367911,53.46811,BCT,HAR
1800NFH0581,375137,398503,-2.376129,53.48265,BCT,HAR
1800SJH1061,375670,396920,-2.367974,53.46845,BCT,HAR
1800NFH0601,375169,398482,-2.375645,53.48247,BCT,HAR
1800EHH1751,390845,396790,-2.139376,53.46777,BCT,HAR
1800EHH2401,392207,398009,-2.11889,53.47875,BCT,HAR
1800EHH1741,391712,397626,-2.126338,53.4753,BCT,HAR
1800EHH2411,390917,396875,-2.138294,53.46853,BCT,HAR
1800EHH1742,391761,397649,-2.1256,53.47551,BCT,HAR
1800NBH0911,384519,404797,-2.235066,53.53959,BCT,HAR
1800NBH0912,384519,404797,-2.235066,53.53959,BCT,HAR
1800EBH1851,387078,403928,-2.196417,53.53185,BCT,HAR
1800NCH4441,379553,404243,-2.309962,53.53444,BCT,HAR
1800EDH3351,389283,403466,-2.163136,53.52774,BCT,HAR
1800EDH3352,389283,403466,-2.163136,53.52774,BCT,HAR
1800SGH0881,383920,389424,-2.243312,53.40139,BCT,HAR
1800SGH3071,378654,393654,-2.322801,53.43922,BCT,HAR
1800NC42511,381297,404843,-2.283686,53.5399,BCT,MKD
1800NC42521,381275,404872,-2.284019,53.54016,BCT,MKD
1800SGH3061,378427,393640,-2.326217,53.43909,BCT,HAR
1800SGH3051,383825,389500,-2.244745,53.40207,BCT,HAR
1800SGH2251,389920,390938,-2.15312,53.41515,BCT,HAR
1800SGH2951,384879,389114,-2.228874,53.39864,BCT,HAR
1800SJ11931,380648,392286,-2.2927,53.42701,BCT,MKD
1800SGH0271,385016,388853,-2.226801,53.39629,BCT,HAR
1800SGH3011,389924,390922,-2.153059,53.41501,BCT,HAR
1800NFH0941,374597,398785,-2.384289,53.48516,BCT,HAR
1800NFH0681,374875,399516,-2.380158,53.49175,BCT,HAR
1800NFH0671,374926,399474,-2.379386,53.49137,BCT,HAR
1800NFH0561,374569,398745,-2.384707,53.4848,BCT,HAR
1800NFH0611,375605,399317,-2.36914,53.48999,BCT,HAR
1800NFH1571,381040,398266,-2.287163,53.48077,BCT,HAR
1800NFH0621,375644,399305,-2.368551,53.48989,BCT,HAR
1800NFH1601,378367,398820,-2.327479,53.48565,BCT,HAR
1800NFH1631,378440,398859,-2.326381,53.486,BCT,HAR
1800NFH1491,378038,398840,-2.332438,53.48581,BCT,HAR
1800WA18121,366441,407206,-2.5081,53.56039,BCT,MKD
1800WA18111,366445,407181,-2.508036,53.56017,BCT,MKD
1800WA18071,367514,406548,-2.491833,53.55455,BCT,MKD
1800WA18061,367531,406525,-2.491574,53.55434,BCT,MKD
1800WFH0201,375191,403848,-2.37574,53.5307,BCT,HAR
1800WFH0211,375192,403820,-2.375723,53.53045,BCT,HAR
1800WFH0491,375143,403774,-2.376458,53.53003,BCT,HAR
1800WFH0501,375199,403911,-2.375624,53.53127,BCT,HAR
1800WFH0431,373895,404613,-2.395355,53.53751,BCT,HAR
1800WAH2971,362371,411130,-2.570014,53.59539,BCT,HAR
1800WFH0451,375467,402209,-2.371447,53.51598,BCT,HAR
1800WFH0461,375476,402116,-2.371304,53.51514,BCT,HAR
1800WAH2981,362389,411140,-2.569743,53.59547,BCT,HAR
1800WFH0441,373895,404642,-2.395358,53.53777,BCT,HAR
1800WAH2491,374184,404747,-2.391006,53.53873,BCT,HAR
1800WAH2821,370032,405539,-2.453729,53.54563,BCT,HAR
1800WAH2811,370039,405561,-2.453625,53.54583,BCT,HAR
1800NE25101,393247,411921,-2.103525,53.60381,BCT,MKD
1800NE35931,391328,410861,-2.132495,53.59425,BCT,MKD
1800NE03291,388507,409867,-2.175079,53.58526,BCT,MKD
1800NE35921,391350,410838,-2.132162,53.59405,BCT,MKD
1800NE03301,388482,409933,-2.175459,53.58586,BCT,MKD
1800NE25111,393240,411951,-2.103631,53.60408,BCT,MKD
1800NCH3911,382414,405704,-2.26688,53.54768,BCT,HAR
1800NCH3921,382407,405672,-2.266984,53.54739,BCT,HAR
1800NEH4241,394687,413877,-2.081798,53.62141,BCT,HAR
1800NCH3701,382737,406144,-2.26203,53.55164,BCT,HAR
1800NCH3681,380990,404815,-2.288316,53.53963,BCT,HAR
1800NCH3931,381030,404740,-2.287708,53.53896,BCT,HAR
1800NEH4231,394811,413959,-2.079924,53.62214,BCT,HAR
1800SGH2681,390143,391167,-2.149772,53.41721,BCT,HAR
1800SGH2682,390143,391167,-2.149772,53.41721,BCT,HAR
1800NC07411,379869,416819,-2.30601,53.64749,BCT,CUS
1800NC00701,382107,411363,-2.27184,53.59853,BCT,MKD
1800NC50001,379868,416808,-2.306025,53.64739,BCT,MKD
1800NC50002,379868,416808,-2.306025,53.64739,BCT,MKD
1800NEH4031,382027,410453,-2.272996,53.59035,BCT,HAR
1800NCH0791,379830,417120,-2.30662,53.65019,BCT,HAR
1800NCH3731,379775,415955,-2.307376,53.63972,BCT,HAR
1800NCH3871,382084,409464,-2.272077,53.58146,BCT,HAR
1800NCH3891,382564,406360,-2.264653,53.55358,BCT,HAR
1800NCH3791,380677,414610,-2.293649,53.62766,BCT,HAR
1800NCH3851,382015,410200,-2.273162,53.58807,BCT,HAR
1800NCH3881,382098,409499,-2.271868,53.58178,BCT,HAR
1800NCH3861,382045,410200,-2.272709,53.58807,BCT,HAR
1800NCH0831,379850,417120,-2.306318,53.65019,BCT,HAR
1800NCH3901,382604,406325,-2.264047,53.55326,BCT,HAR
1800NCH3801,380558,414818,-2.295462,53.62953,BCT,HAR
1800NCH4381,383191,405536,-2.255145,53.54619,BCT,HAR
